technology,parameter,value,unit,source,further description
Ammonia cracker,FOM,4.3,%/year,Linear interpolation between 2040 and 2050,
Ammonia cracker,ammonia-input,1.46,MWh_NH3/MWh_H2,Linear interpolation between 2040 and 2050,
Ammonia cracker,investment,661221.1,EUR/MW_H2,Linear interpolation between 2040 and 2050,
Ammonia cracker,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
BioSNG,C in fuel,0.36855,per unit,Linear interpolation between 2040 and 2050,
BioSNG,C stored,0.6314500000000001,per unit,Linear interpolation between 2040 and 2050,
BioSNG,CO2 stored,0.23154999999999998,tCO2/MWh_th,Linear interpolation between 2040 and 2050,
BioSNG,FOM,1.6147803278688524,%/year,Linear interpolation between 2040 and 2050,
BioSNG,VOM,1.625,EUR/MWh_th,Linear interpolation between 2040 and 2050,
BioSNG,capture rate,0.9,per unit,Linear interpolation between 2040 and 2050,
BioSNG,efficiency,0.6825,per unit,Linear interpolation between 2040 and 2050,
BioSNG,investment,1525000.0,EUR/MW_th,Linear interpolation between 2040 and 2050,
BioSNG,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
BtL,C in fuel,0.3039,per unit,Linear interpolation between 2040 and 2050,
BtL,C stored,0.6960999999999999,per unit,Linear interpolation between 2040 and 2050,
BtL,CO2 stored,0.25525,tCO2/MWh_th,Linear interpolation between 2040 and 2050,
BtL,FOM,2.909111111111111,%/year,Linear interpolation between 2040 and 2050,
BtL,VOM,1.0631,EUR/MWh_FT,Linear interpolation between 2040 and 2050,
BtL,capture rate,0.9,per unit,Linear interpolation between 2040 and 2050,
BtL,efficiency,0.43335,per unit,Linear interpolation between 2040 and 2050,
BtL,investment,2250000.0,EUR/MW_th,Linear interpolation between 2040 and 2050,
BtL,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CCGT,FOM,3.4883720931337208,%/year,Linear interpolation between 2040 and 2050,
CCGT,VOM,1.2,EUR/MWh,Linear interpolation between 2040 and 2050,
CCGT,c_b,2.1500000000000004,50oC/100oC,Linear interpolation between 2040 and 2050,
CCGT,c_v,0.15,50oC/100oC,Linear interpolation between 2040 and 2050,
CCGT,efficiency,0.655,per unit,Linear interpolation between 2040 and 2050,
CCGT,investment,860000.0,EUR/MW,Linear interpolation between 2040 and 2050,
CCGT,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CH4 (g) fill compressor station,FOM,1.7,%/year,Linear interpolation between 2040 and 2050,
CH4 (g) fill compressor station,investment,1498.9483,EUR/MW_CH4,Linear interpolation between 2040 and 2050,
CH4 (g) fill compressor station,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
CH4 (g) pipeline,FOM,1.5,%/year,Linear interpolation between 2040 and 2050,
CH4 (g) pipeline,electricity-input,0.01,MW_e/1000km/MW_CH4,Linear interpolation between 2040 and 2050,
CH4 (g) pipeline,investment,150.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
CH4 (g) pipeline,lifetime,50.0,years,Linear interpolation between 2040 and 2050,
CH4 (g) submarine pipeline,FOM,3.0000000000000004,%/year,Linear interpolation between 2040 and 2050,
CH4 (g) submarine pipeline,electricity-input,0.01,MW_e/1000km/MW_CH4,Linear interpolation between 2040 and 2050,
CH4 (g) submarine pipeline,investment,114.8928,EUR/MW/km,Linear interpolation between 2040 and 2050,
CH4 (g) submarine pipeline,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
CH4 (l) transport ship,FOM,3.5,%/year,Linear interpolation between 2040 and 2050,
CH4 (l) transport ship,capacity,58300.0,t_CH4,Linear interpolation between 2040 and 2050,
CH4 (l) transport ship,investment,151000000.0,EUR,Linear interpolation between 2040 and 2050,
CH4 (l) transport ship,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CH4 evaporation,FOM,3.5,%/year,Linear interpolation between 2040 and 2050,
CH4 evaporation,investment,87.5969,EUR/kW_CH4,Linear interpolation between 2040 and 2050,
CH4 evaporation,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
CH4 liquefaction,FOM,3.5,%/year,Linear interpolation between 2040 and 2050,
CH4 liquefaction,electricity-input,0.036,MWh_el/MWh_CH4,Linear interpolation between 2040 and 2050,
CH4 liquefaction,investment,232.1331,EUR/kW_CH4,Linear interpolation between 2040 and 2050,
CH4 liquefaction,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CH4 liquefaction,methane-input,1.0,MWh_CH4/MWh_CH4,Linear interpolation between 2040 and 2050,
CO2 liquefaction,FOM,5.0,%/year,Linear interpolation between 2040 and 2050,
CO2 liquefaction,carbondioxide-input,1.0,t_CO2/t_CO2,Linear interpolation between 2040 and 2050,
CO2 liquefaction,electricity-input,0.123,MWh_el/t_CO2,Linear interpolation between 2040 and 2050,
CO2 liquefaction,heat-input,0.0067,MWh_th/t_CO2,Linear interpolation between 2040 and 2050,
CO2 liquefaction,investment,16.0306,EUR/t_CO2/h,Linear interpolation between 2040 and 2050,
CO2 liquefaction,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CO2 pipeline,FOM,0.9,%/year,Linear interpolation between 2040 and 2050,
CO2 pipeline,investment,2000.0,EUR/(tCO2/h)/km,Linear interpolation between 2040 and 2050,
CO2 pipeline,lifetime,50.0,years,Linear interpolation between 2040 and 2050,
CO2 storage tank,FOM,1.0,%/year,Linear interpolation between 2040 and 2050,
CO2 storage tank,investment,2528.172,EUR/t_CO2,Linear interpolation between 2040 and 2050,
CO2 storage tank,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CO2 submarine pipeline,FOM,0.5,%/year,Linear interpolation between 2040 and 2050,
CO2 submarine pipeline,investment,4000.0,EUR/(tCO2/h)/km,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-bicharger,FOM,0.9265,%/year,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-bicharger,efficiency,0.7211,per unit,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-bicharger,investment,856985.2314,EUR/MW,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-bicharger,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-store,FOM,0.42999999999999994,%/year,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-store,investment,4935.1364,EUR/MWh,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-store,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Concrete-charger,FOM,1.075,%/year,Linear interpolation between 2040 and 2050,
Concrete-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
Concrete-charger,investment,130599.3799,EUR/MW,Linear interpolation between 2040 and 2050,
Concrete-charger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Concrete-discharger,FOM,0.2688,%/year,Linear interpolation between 2040 and 2050,
Concrete-discharger,efficiency,0.4343,per unit,Linear interpolation between 2040 and 2050,
Concrete-discharger,investment,522397.5196,EUR/MW,Linear interpolation between 2040 and 2050,
Concrete-discharger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Concrete-store,FOM,0.3308,%/year,Linear interpolation between 2040 and 2050,
Concrete-store,investment,21777.6021,EUR/MWh,Linear interpolation between 2040 and 2050,
Concrete-store,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
FT fuel transport ship,FOM,5.0,%/year,Linear interpolation between 2040 and 2050,
FT fuel transport ship,capacity,75000.0,t_FTfuel,Linear interpolation between 2040 and 2050,
FT fuel transport ship,investment,31700578.34,EUR,Linear interpolation between 2040 and 2050,
FT fuel transport ship,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,FOM,3.0000000000000004,%/year,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,VOM,2.6500000000000004,EUR/MWh_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,capture rate,0.9,per unit,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,carbondioxide-input,0.2885,t_CO2/MWh_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,efficiency,0.799,per unit,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,electricity-input,0.007,MWh_el/MWh_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,hydrogen-input,1.345,MWh_H2/MWh_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,investment,523116.10919999995,EUR/MW_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
Gasnetz,FOM,2.5,%/year,Linear interpolation between 2040 and 2050,
Gasnetz,investment,28.0,EUR/kWGas,Linear interpolation between 2040 and 2050,
Gasnetz,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (crude),FOM,6.25,%/year,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (crude),investment,135.8346,EUR/m^3,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (crude),lifetime,30.0,years,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (product),FOM,6.25,%/year,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (product),investment,169.7933,EUR/m^3,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (product),lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Gravity-Brick-bicharger,FOM,1.5,%/year,Linear interpolation between 2040 and 2050,
Gravity-Brick-bicharger,efficiency,0.9274,per unit,Linear interpolation between 2040 and 2050,
Gravity-Brick-bicharger,investment,376395.0215,EUR/MW,Linear interpolation between 2040 and 2050,
Gravity-Brick-bicharger,lifetime,41.7,years,Linear interpolation between 2040 and 2050,
Gravity-Brick-store,investment,142545.4794,EUR/MWh,Linear interpolation between 2040 and 2050,
Gravity-Brick-store,lifetime,41.7,years,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-bicharger,FOM,1.5,%/year,Linear interpolation between 2040 and 2050,
